Team,Venue,Address,Latitude,Longitude 
Toronto Blue Jays,Rogers Centre ,"1 Blue Jays Way, Toronto, ON M5V 1J1, Canada ",43.6419117691,-79.388768193
Toronto Argonauts ,BMO Field,"170 Princes' Blvd, Toronto, ON M6K 3C3, Canada",43.6333955139,-79.4179967739
Toronto FC  ,BMO Field,"170 Princes' Blvd, Toronto, ON M6K 3C3, Canada",43.6333955139,-79.4179967739
Toronto Maple Leafs,Scotiabank Arena,"40 Bay St, Toronto, ON M5J 2X2, Canada ",43.6442302094,-79.3783738874
Toronto Raptors ,Scotiabank Arena,"40 Bay St, Toronto, ON M5J 2X2, Canada ",43.6442302094,-79.3783738874
,,,,
New York Yankees,Yankee Stadium,"1 E 161 St, The Bronx, NY 10451, United States",40.829659,-73.926186
New York Giants,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 0707...",40.813726,-74.073824
New York Rangers,Madison Square Garden,"4 Pennsylvania Plaza, New York, NY 10001, Unit...",40.75074,-73.994005
New York Knicks,Madison Square Garden,"4 Pennsylvania Plaza, New York, NY 10001, Unit...",40.75074,-73.994005
New York Jets,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 0707...",40.813726,-74.073824
New York Mets,Citi Field,"41 Seaver Way, Queens, NY 11368, United States",40.757275,-73.845457
Brooklyn Nets,Barclays Center,"620 Atlantic Ave, Brooklyn, NY 11217, United S...",40.682858,-73.975169
New York Islanders,Barclays Center Nassau Coliseum,"620 Atlantic Ave, Brooklyn, NY 11217, United S...",40.682858,-73.975169
New Jersey Devils,Prudential Center,"25 Lafayette St, Newark, NJ 07102, United States",40.733761,-74.874194712
New York Red Bulls,Red Bull Arena,"600 Cape May St, Harrison, NJ 07029, United St...",40.737047,-74.170497
New York City FC,Yankee Stadium,"1 E 161 St, The Bronx, NY 10451, United States",40.829659,-73.926186
